581536.5936	5244599.618	1899
581944.0425	5244351.749	1784
582354.5595	5244102.014	1693
582777.3949	5243857.395	1606
583207.8331	5243599.5	1384
583363.1791	5245917.928	1964
583983.4629	5245569.28	1928
584601.4457	5245221.926	1796
585220.6581	5244873.88	1582
585833.6889	5244529.31	1424
584054.4409	5247056.637	1788
584756.551	5246730.384	1710
585454.1153	5246409.115	1583
586168.4332	5246074.317	1449
586874.8031	5245746.084	1292
585367.0276	5248151.773	1690
586093.8137	5247973.264	1574
586830.6962	5247792.275	1456
587413.4574	5247463.681	1302
588006.6564	5247129.2	1169
582880.8509	5243055.124	1439
583607.492	5243339.802	1341
584329.9375	5243234.5	1338
584897.5604	5243377.635	1292
585821.2073	5243724.695	1297
586454.4469	5244180.395	1287
587409.1956	5245187.699	1167
587584.7772	5245416.176	1132
587860.7291	5245761.371	1157
588115.0608	5246108.16	1194
588339.4603	5246414.137	1066
588613.0993	5246787.253	1065
587623.8687	5245055.372	1119
587747.5226	5244963.63	1145
588123.611	5245638.242	1105
588979.5008	5246730.862	1030
